1;DOMAINE DE LA CHALOUSIÈRE - SCEA PETITEAU;451 La Chalousière;44330;VALLET;02 40 36 20 15;;contact@domaine-chalousière.com;www.domaine-chalousière.com;Ouvert du lundi au samedi : 9h-12h30 / 14h30-19h. Fermé le dimanche;[ 47.1611382 , -1.222481]
2;DOMAINE DU BOIS JOLY;Le Bois Joly;44330;LE PALLET;02 40 80 45 85;;l.bouchaud@domaineduboisjoly.com;www.domaineduboisjoly.com;Ouvert du lundi au vendredi : 16h30-19h30. Le samedi : 10h-12h30 (en dehors de ces horaires contactez le 06 37 78 87 79 ou 06 08 28 46 75);[ 47.18227061 , -1.23684455]
3;DOMAINE DE LA TUCAUDERIE;La Tucauderie;44330;MOUZILLON;02 40 33 90 44;;domainedelatucauderie@wanadoo.fr;;Ouvert du lundi au dimanche : 9h-19h;[ 47.1268072 , -1.236983]
4;CHÂTEAU LE VALLON DES PERRIÈRES;Bournigal;44190;CLISSON;02 40 54 09 24;;vallondesperrieres@wanadoo.fr;;Ouvert du lundi au vendredi : 11h-12h30 / 15h-18h30. Le samedi : 11h-12h30. Fermé le dimanche, jours fériés et 15 jours en août;[ 47.0965904 , -1.2581215]
5;DOMAINE DE LA VINÇONNIÈRE;Le Perthuis Fouques;44190;CLISSON;02 40 03 95 76;;domaine.vinconniere@wanadoo.fr;www.muscadet-perraud.com;Du lundi au vendredi : 8h30-12h /14h-19h et le samedi : 9h-12h30. Fermé les jours fériés et 3ème semaine d’août;[ 47.1111941 , -1.2625851]
6;DOMAINE DU BOIS BRAUD;Le Bois Braud;44330;VALLET;02 40 33 93 76;;cpluneau@wanadoo.fr;;Ouvert du lundi au samedi : 9h-12h / 14h-18h. Fermé le dimanche;[ 47.1390024 , -1.2713375]
7;DOMAINE DU MAUPERTHUIS;4, Beauregard;44330;MOUZILLON;02 40 33 95 25;;domainedumauperthuis@wanadoo.fr;http://www.domainedumauperthuis.com/;Du lundi au vendredi : 10h-12h / 16h-18h et le samedi : 10h-12h / 14h-16h;[ 47.1345957 , -1.2777968]
8;DOMAINE DE LA GRANGE;LA GRANGE;44330;MOUZILLON;02 40 33 93 60;;contact@dhardy.com;;Ouvert du lundi au vendredi : 8h-13h / 14h-18h et le samedi : 9h-12h30;[ 47.1403883 , -1.2808336]
9;CAVEAU DES VIGNERONS;Place du Minage;44190;CLISSON;;;;;;[ 47.0869788 , -1.2817964]
10;CHÂTEAU DE FROMENTEAU;Fromenteau;44330;VALLET;02 40 36 23 75;;anne.braud@wanadoo.fr;www.chateaudefromenteau.com;Haute saison : lundi, mercredi et vendredi : 10h-18h mardi et samedi : 10h-12h30. Fermé le dimanche, jours, fériés et vacances scolaires de la Toussaint et Février;[ 47.1648425 , -1.2838172]
11;DOMAINE DES RIGOLES DU PIN - XAVIER GOURAUD;1 le Pin;44330;MOUZILLON;02 40 36 62 85;;xaviergouraud@free.fr;www.xaviergouraud.fr;Ouvert du lundi au samedi : 10h-12h30 / 15h-18h. Le dimanche sur RDV;[ 47.1445936 , -1.2899278]
12;DOMAINE JEAN LUC VIAUD;La Renouère;44430;LE LANDREAU;02 40 06 40 65;;jean_luc.viaud@club-internet.fr;www.domainejeanlucviaud.fr;Du lundi au vendredi : 14h-19h. Le samedi : 11h-13h / 14h-20h. Fermé le dimanche;[ 47.1960612 , -1.2910213]
13;DOMAINE MARTIN LUNEAU;Le Magasin;44190;GORGES;02 40 54 38 44;;martinluneau@wanadoo.fr;;Ouvert du lundi au vendredi : 8h-12h30 / 14h-19h et le samedi : 8h-12h30 / 14h-17h. Fermé le dimanche;[ 47.1147172 , -1.2924942]
14;CHATEAU DE L'OISELINIERE - SCEA VERDIER;CHATEAU DE L'OISELINIERE;44190;GORGES;02 40 06 91 59;;contact@chateau-de-l-oiseliniere.com;http://www.chateau-de-l-oiseliniere.com/;Du lundi au samedi : 14h-18h, Le dimanche sur rendez-vous, Ouverture pendant les vendanges;[ 47.107143 , -1.293221]
15;FLORENCE ET JOËL FORGEAU;17 La Rouaudière;44330;MOUZILLON;02 40 33 95 37;;muscadet.forgeau@wanadoo.fr;www.muscadet-forgeau.com;Ouvert du lundi au vendredi : 8h30-12h30 / 14h-18h30 et le samedi : 9h-12h / après-midi sur RDV. Fermé les 15 derniers jours d’août;[ 47.1313104 , -1.2961081]
16;DOMAINE DE LA HOUSSAIS;;44430;LE LANDREAU;02 40 06 46 27;;gratas.bernard@wanadoo.fr;;Ouvert du lundi au vendredi : 9h-12h30 / 14h-19h. Samedi : 9h-12h30, après-midi sur RDV. Fermé le dimanche et jours fériés;[ 47.2050308 , -1.305974]
17;DOMAINE DE LA POITEVINIÈRE;La Poitevinière;44190;GORGES;02 40 06 96 93;;vincent.rineau@wanadoo.fr;www.domaine-de-la-poiteviniere.com;Ouvert du lundi au vendredi : 17h-20h. Le samedi : 11h-20h. Fermé le dimanche et jours fériés;[ 47.1177547 , -1.3060178]
18;DOMAINE DE LA PYRONNIÈRE;La Pyronnière;44190;GORGES;06 80 10 06 38;;drouetstephane@wanadoo.fr;;Du lundi au vendredi : 8h-19h et le samedi : 8h-13h. Fermé le dimanche, les jours fériés et la 2ème et 3ème semaine d’août;[ 47.1024776 , -1.3223037]
19;MANOIR DE LA MOTTRIE;La Levraudière;44330;LA CHAPELLE-HEULIN;02 40 06 76 38;;manoirdelamottrie@free.fr;;Du lundi au vendredi : 10h-13h / 15h-19h. Samedi : 10h-18h30. Le dimanche sur RDV. Fermé en septembre;[ 47.168619 , -1.3226737]
20;CHÂTEAU DE LA TARCIÈRE - BONNET HUTEAU;La Levraudière;44330;LA CHAPELLE-HEULIN;02 40 06 73 87;;bonnet.huteau@wanadoo.fr;www.bonnet-huteau.com;Ouvert du lundi au vendredi : 14h-18h30. Le samedi jusqu’à 17h30. Fermé le dimanche;[ 47.168619 , -1.3226737]
21;DOMAINE R DE LA GRANGE;La Grange;44430;LE LANDREAU;02 40 06 45 65;;domaine.r.delagrange@wanadoo.fr;www.domaine-r-delagrange.com;Ouvert du lundi au samedi : 9h-12h30 / 14h30-19h. Le dimanche sur RDV;[ 47.1898221 , -1.3290225]
22;DOMAINE PIERRE LUNEAU-PAPIN;La Grange;44430;LE LANDREAU;02 40 06 45 27;;domaineluneaupapin@wanadoo.fr;;Ouvert du lundi au samedi : 9h-12h / 15h-18h;[ 47.1895506 , -1.3297067]
