1;LA MAISON DES VINS ;28 place du Millénaire;;44150;ANCENIS;02 40 96 14 92;;infos@vins-ancenis.fr;www.vins-ancenis.fr;;Ouvert toute l'année ;Musée;;oui;oui;oui;oui;;;[ 47.3635938 , -1.1784402]
2;LA MAISON DES PALUDIERS;Saillé;18 rue des Prés-Garniers;44350;GUERANDE;02 40 62 21 96;02 40 15 03 46;contact@maisondespaludiers.fr;www.maisondespaludiers.fr;Selon options : adulte : de 4,40 € à 6,20 € , enfant : de 3,10 € à 4,40 € ;;Artisanat;;oui;oui;oui;oui;;;[ 47.23414095 , -1.18748945]
3;EDF - Unité de Production;BP 13;;44360;CORDEMAIS;02 40 44 33 00;02 40 44 31 19;;www.edf.fr;Gratuit;;Artisanat;;oui;oui;oui;oui;;;[ 47.12528534 , -1.23737027]
4;LA MAISON DE BONCHAMPS;61 rue de la Basse Meilleraie;;44370;VARADES;02 40 98 33 03;;info@varades.fr;http://www.varades.fr/;;;Musée;;oui;oui;oui;oui;;;[ 47.3719288 , -1.238949]
5;LA VILLA LEMOT;;;44190;GETIGNE;02 40 54 75 85;;vderouet@cg44.fr;www.culturecg44.fr;;;Musée;;oui;oui;oui;oui;;Adulte : de 1,50 à 2,20;[ 47.751384 , -1.2501441]
6;MUSEE DE LA VIGNE ET DU VIN;Abbaye de Sainte Radegonde;;44430;LE LOROUX-BOTTEREAU;02 40 03 74 78;06 15 86 57 55;musee@radegonde.fr;www.radegonde.fr;;Ouvert toute l'année sur rendez-vous ;Musée;;oui;oui;oui;oui;;;[ 47.2601605 , -1.2735922]
7;CHATEAU D'OUDON - LOIRE EN SCENE;Loire en Scène;11 Rue du Pont Levis;44521;OUDON;02 40 83 60 00;;loire-scene@wanadoo.fr;www.loire-en-scene.fr;Adultes : 6 €  Enfant (5-14 ans) : 3,80 €  Tarifs réduits pour les groupes  PASS (château + bateau) : adulte : 13 €, enfant : 7,50 € ;Ouvert du 1er mars au 31 août 2011 ;Musée;Château;oui;oui;oui;oui;;;[ 47.3456481 , -1.2914903]
8;ECOMUSEE DES FOURS A CHAUX;Route de St Julien de Vouvantes;;44110;ERBRAY;06 84 23 33 97;;;;Tarif adulte : 3 € - Tarif groupe : 2 €, ;Visites sur rdv, ;Musée;;oui;oui;oui;oui;;;[ 47.650425 , -1.2958918]
9;ATELIER ET MEMOIRE DU PAPIER;Chapelle des Templiers;Impasse de la Commanderie;44190;CLISSON;02 40 54 31 65;;;http://artgraphclissonfree.fr;;Ouvert du 1er juin au 30 septembre 2011 , En mai et octobre, ouvert simplement les samedi et dimanches  Pour les groupes, ouvert du 1er mai au 31 octobre sur réservation  , ;Musée;Musée d'histoire naturelle;oui;oui;oui;oui;;;[ 47.1010352 , -1.3021336]
10;MUSEE DU VIGNOBLE NANTAIS;82 rue Pierre Abelard;;44330;LE PALLET;02 40 80 90 13;02 40 80 49 81;accueil@musee-vignoble-nantais.fr;www.vignoble-nantais.eu;;Ouvert du 1er avril au 12 novembre 2011 , Ouvert toute l'année pour les groupes sur réservation , Ouvert toute l'année sur rendez-vous   Visite guidée le dimanche à 15h30  ;Musée;;oui;oui;oui;oui;;Adulte : de 2,50 à 4,50;[ 47.1357043 , -1.3312769]
11;MAISON DE  PAYS MUSEE DES FORGES ;La Forge Neuve;;44520;MOISDON-LA-RIVIERE;02 40 07 62 07;02 40 28 20 90;pitonguy@orange.fr;;;;Musée;;oui;oui;oui;oui;;;[ 47.6046278 , -1.3457145]
12;MUSEE DE LA RESISTANCE;Ferme de la Sablière;Route de Laval;44110;CHATEAUBRIANT;02 40 28 60 36;;;;;Ouvert toute l'année ;Musée;;oui;oui;oui;oui;;;[ 47.7241569 , -1.3819337]
13;LE SITE DE LA CANTRIE;Association des « Amis de St Fiacre »;;44690;SAINT-FIACRE-SUR-MAINE;02 40 54 82 26;;contact@lesamisdestfiacre.fr;www.lesamisdestfiacre.fr;;Site naturel ouvert toute l'année  Ouverture des exposition du 1er mai au 30 septembre  ;Musée;;oui;oui;oui;oui;;;[ 47.1439184 , -1.4159454]
14;DEMEURE RENE GUY CADOU;3 rue René Guy Cadou;;44110;LOUISFERT;02 40 81 22 64;06 62 40 44 56;martinjc45@aol.com;;;;Musée;;oui;oui;oui;oui;;;[ 47.67415838 , -1.43020643]
15;MUSEE DE LA CHANSON FRANCAISE;8 rue Paul Joyau;;44140;LA PLANCHE;02 40 26 52 15;;;;;;Musée;;oui;oui;oui;oui;;;[ 47.169295 , -1.4369241]
16;MUSEE AGRI-RETRO;Le Bas-Houx;;44170;ABBARETZ;02 40 55 19 71;;;;;;Musée;;oui;oui;oui;oui;;;[ 47.5743829 , -1.4619924]
17;MUSEE ERDRE VIVANTE;Site des Renaudières;;44470;CARQUEFOU;02 28 22 24 45;;musee@mairie-carquefou.fr;www.carquefou.fr/musee;;;Artisanat;;oui;oui;oui;oui;;;[ 47.2968907 , -1.4922237]
18;FRAC DES PAYS DE LA LOIRE;Fonds Régional d'Art Contemporain;La Fleuriaye;44470;CARQUEFOU;02 28 01 50 00;;contact@fracdespaysdelaloire.com;www.fracdespaysdelaloire.com;;;Musée;;oui;oui;oui;oui;;;[ 47.3025061 , -1.5039115]
19;MUSEE DU TEMPS QUI PASSE;Les Renaudières;;44470;CARQUEFOU;02 40 52 79 30;;;;;;Musée;Fédération nationale des écomusées;oui;oui;oui;oui;;;[ 47.3004404 , -1.5122228]
20;LES FORGES DE LA HUNAUDIERE;Association Les Amis des Forges de la Hunaudière;La Hunaudière;44590;SION-LES-MINES;02 40 07 70 10;02 40 28 94 29;info@lesforgesdelahunaudiere.fr;www.lesforgesdelahunaudiere.fr;;Ouvert toute l'année / l'animation débute à 14h45 et dure environ 2h30  ;Musée;;oui;oui;oui;oui;;;[ 47.7136932 , -1.5328291]
21;LE MOULIN DE KERBROUE;Route de St Molf;;44420;LA TURBALLE;02 40 11 71 31;02 40 11 71 31;augredesvents@wanadoo.fr;;Adulte : 2 €  Enfant (3-12 ans) : 1 €;Juillet et août et vacances scolaires ;Artisanat;;oui;oui;oui;oui;;;[ 47.1461497 , -1.53696504]
22;MUSEE D'HISTOIRE DE NANTES;4 place Marc Elder;Château des Ducs de Bretagne;44000;NANTES;0811 46 46 44;;contact@chateau-nantes.fr;www.chateau-nantes.fr;;Ouvert toute l'année / Musée fermé le lundi sauf juillet et août ouvert 7j/7 , , ;Musée;;oui;oui;oui;oui;;Adulte : de 5 à 8;[ 47.2162938 , -1.5500136]
23;MUSEE NAVAL MAILLE BREZE;105 Quai de la Fosse;BP 68721;44187;NANTES;08 79 18 33 51;02 40 69 75 15;maillebreze@orange.fr;www.maillebreze.com;;;Musée;;;;;;;;[ 47.2168424 , -1.5567445]
24;LA MAISON DES VINS DE LOIRE;15 place du Commerce;;44000;NANTES;02 40 89 75 98;;mdesvins-nantes@vinsdeloire.fr;www.vinsdeloirefr;;;Musée;;oui;oui;oui;oui;;;[ 47.2129273 , -1.5580736]
