1;THEATRE QUARTIER LIBRE ;Quartier Rohan;44150;ANCENIS;DAHERON Dominique;reservation@theatre-ancenis.com;02.51.14.17.17;400 à 1200 places;490;[ 47.365464 , -1.177491]
2;SALLE PAUL BOUIN ;Square de Theley;44115;BASSE-GOULAINE;BURGAUD Daniel;communication@basse-goulaine.fr;02.40.03.55.56;- 400 places;;[ 47.21763230000001 , -1.4649073]
3;CENTRE CULTUREL PIANO'CKTAIL;Rue Ginsheim Gustavsburg;44340;BOUGUENAIS;RAUCK Sandrine;pianocktail@ville-bouguenais.fr;02.40.65.05.25;400 à 1200 places;;[ 47.176385 , -1.619656]
4;LE NOUVEAU PAVILLON;rue Ginsheim-Gustavburg;44340;BOUGUENAIS;;info@lenouveaupavillon.com;02.40.02.35.16;- 400 places;;[ 47.176385 , -1.619656]
5;HORIZINC;12 rue Louis Guihot;44130;BOUVRON;;mairie.bouvron@wanadoo.fr;02.40.56.32.18;400 à 1200 places;450;[ 47.4178864 , -1.8473786]
6;THEATRE DE LA FLEURIAYE;30 Bd Ampère;44470;CARQUEFOU;NADAL Michel;congres@mairie-carquefou.fr;02.28.22.24.24;400 à 1200 places;;[ 47.301957599 , -1.5030189]
7;LA HALLE DE BERE;Rue Briand Premier;44110;CHATEAUBRIANT;LOPARD François;;02.40.81.57.39;+ 1200 places;2000;[ 47.720948 , -1.3762239]
8;THEATRE DE VERRE ;27 place Charles de Gaulle;44110;CHATEAUBRIANT;PITHOIS Frédéric;tdv.billeterie@wanadoo.fr;02.40.81.16.19;400 à 1200 places;496;[ 47.7187233 , -1.373814]
9;THEATRE CHEMERE;MAIRIE - 6 rue de Nantes;44680;CHEMERE;GUILBAUD Gérard;;02.40.21.30.22;400 à 1200 places;;[ 47.1224587 , -1.9138762]
10;ESPACE SAINT JACQUES;Route du Docteur Duboueix;44191;CLISSON;CESBRON Claude;contact@mairie-clisson.fr;02.40.80.17.80;- 400 places;;[ 47.0886 , -1.284006]
11;THEATRE BORIS VIAN;Rue Edmond Rostand;44220;COUERON;DAGORNE Murielle;culture@mairie-coueron.fr;02.28.25.85.35;- 400 places;;[ 47.210999 , -1.72885]
12;ESPACE CULTUREL RENAISSANCE ;Rue Laënnec;44480;DONGES;JOSSO Jean-Pierre;mairie@ville-donges.fr;02.40.91.00.06;- 400 places;;[ 47.318789 , -2.074694]
13;SALLE DE SPECTACLES DENISE GREY ;11 rue de la Mairie;44130;FAY-DE-BRETAGNE;TOBIE Michel;mairie@faydebretagne.fr;02.40.87.42.18;- 400 places;;[ 47.4134769 , -1.7905281]
14;ESPACE BELLEVUE ;Rue de Pont Jean-Vay;44190;GETIGNE;DAVASE Frédérique;;02.40.54.31.26;400 à 1200 places;491;[ 47.077874 , -1.249244]
15;ESPACE ATHANOR ;Avenue Anne de Bretagne ;44350;GUERANDE;;athanor@ville-guerande.fr;02.40.24.73.73;- 400 places;330;[ 47.3294246 , -2.4224185]
16;LE QUATRAIN;Rue de la Basse Lande;44115;HAUTE-GOULAINE;CHEVALIER Aurore;direction@lequatrain.fr;02.40.80.66.03;400 à 1200 places;400;[ 47.1928135 , -1.4419259]
17;CENTRE CULTUREL ET DES CONGRES ATLANTIA ;121 avenue de Lattre de Tassigny;44500;LA-BAULE-ESCOUBLAC;RAEDERSTOERFFER Paule;culturel@atlantia.tm.fr;02.40.11.51.51;400 à 1200 places;;[ 47.2824238 , -2.4096394]
18;SALLE DE SPECTACLES MAURICE ET KATIA KRAFFT ;16 rue de la Brière;44410;LA-CHAPELLE-DES-MARAIS;;serviceculturel@chapelledesmarais.fr;02.40.53.26.34;400 à 1200 places;430;[ 47.44664299 , -2.2429565]
19;ESPACE CULTUREL CAPELLIA ;Chemin Roche Blance;44240;LA-CHAPELLE-SUR-ERDRE;PINARD Michel;capellia@lachapellesurerdre.fr;02.40.72.09.01;;;[ 47.29957599 , -1.550638]
20;LE JAM;Espace Familles Pierre de Rosa - 15 rue Jean Jaurès;44240;LA-CHAPELLE-SUR-ERDRE;TELLIER Gweltaz;lejam@lachapellesurerdre.fr;02.51.81.87.23;- 400 places;200;[ 47.3011428 , -1.5504289]
21;LE GRAND LIEU;place Saint Martin;44118;LA-CHEVROLIERE;LEFRANCOIS Christophe;commune@mairie-lachevroliere.fr;02.40.13.30.00;400 à 1200 places;;[ 47.0938963 , -1.6117689]
22;ESPACE CULTUREL LE MIL'LIEU ;3 rue de l'Abbé Merel;44170;LA-GRIGONNAIS;LEGER Bruno;mairie@lagrigonnais.fr;02.40.51.36.61;- 400 places;;[ 47.52642609 , -1.6675501]
23;SALLE DE L'ANCIENNE CRIEE ;Place Boston;44490;LE-CROISIC;;;02.40.62.99.99;400 à 1200 places;;[ 47.29493309 , -2.5114229]
24;ESPACE RENE CASSIN ;Rue de la Jouardais;44640;LE-PELLERIN;NICOU Flore;;02.40.04.56.00;- 400 places;;[ 47.19585989 , -1.7590545]
25;ESPACE CULTUREL SAINT MICHEL;11 rue de la Chaussée;44650;LEGE;BONNEAU Jean-Luc;mairie@ville-lege44.fr;02.40.26.35.00;- 400 places;210;[ 46.8852102 , -1.5961492]
26;ESPACE CULTUREL LE PREAMBULE ;Place de Presteigne;44850;LIGNE;ROUILLON Catherine;espace.culturel@ligne.fr;02.40.77.00.08;- 400 places;;[ 47.412023 , -1.3767259]
27;THEATRE DE L'ESPACE DE RETZ;Place du Champ de Foire;44270;MACHECOUL;MADIOT Claire;;02.40.02.25.45;400 à 1200 places;444;[ 46.9936804 , -1.8255148]
28;LE VALLON ;7 rue du Carteron;44470;MAUVES-SUR-LOIRE;HORDAX ;mairie.mauves@mauvessurloire.fr;02.40.25.50.36;;224;[ 47.2973565 , -1.3934769]
